x,beta_1,se,ci_lo,ci_up,hours,rel_pos
-2.791468582075268,0.6225421848763681,0.08458065548392664,0.4567671463390817,0.7883172234136546,0.06133107802338066,1.0
-2.7533605321010874,0.6013560449557311,0.08292557385814356,0.4388249067964536,0.7638871831150087,0.06371339014724685,1.0
-2.715252482126907,0.5825916530650912,0.08167440671391422,0.4225127574471429,0.7426705486830395,0.06618823954973965,1.0
-2.6771444321527262,0.566586827031696,0.08077958003237166,0.4082617594819767,0.7249118945814155,0.06875922070021924,1.0
-2.6390363821785456,0.5535373240701262,0.08017981659547709,0.39638777125596425,0.7106868768842882,0.07143006768972229,1.0
-2.6009283322043655,0.5435778554508857,0.07980047456210689,0.3871717993599514,0.6999839115418199,0.07420465965435291,1.0
-2.562820282230185,0.5368428965276055,0.07955272958957765,0.3809224116601795,0.6927633813950316,0.07708702640933703,1.0
-2.5247122322560047,0.5334669226085844,0.07933928628932364,0.37796477892239755,0.6889690662947713,0.08008135430192266,1.0
-2.486604182281824,0.5335844090400781,0.07906026291711533,0.37862914111426443,0.6885396769658918,0.08319199229162774,1.0
-2.4484961323076435,0.5372830293902111,0.07862581323473294,0.3831792671949618,0.6913867915854603,0.08642345826666528,1.0
-2.410388082333463,0.5444368495856873,0.07798673772996619,0.39158565236318255,0.697288046808192,0.08978044560572089,1.0
-2.3722800323592823,0.554859028470958,0.07711502947127592,0.4037163480405124,0.7060017089014037,0.09326782999461228,1.0
-2.334171982385102,0.5683627203505273,0.07599429250442707,0.419416644011248,0.7173087966898065,0.09689067650773159,1.0
-2.2960639324109215,0.584761063245435,0.07461958059987575,0.4385093727281948,0.7310127537626752,0.10065424696455563,1.0
-2.2579558824367414,0.6038168403045137,0.0730073484587921,0.4607250667185153,0.746908613890512,0.10456400757190819,1.0
-2.219847832462561,0.6251311566072855,0.07121463943715245,0.4855530281384609,0.76470928507611,0.10862563686307489,1.0
-2.18173978248838,0.6482727335147151,0.06931123714977921,0.5124252049772333,0.784120262052197,0.11284503394530025,1.0
-2.1436317325141996,0.672810212487307,0.06737034880857648,0.5407667551965961,0.8048536697780179,0.11722832706764674,1.0
-2.105523682540019,0.698285588381184,0.065473034114589,0.5699607995580273,0.8266103772043408,0.12178188252165884,1.0
-2.067415632565839,0.7241757318336934,0.06371186881733133,0.5993027635639835,0.8490487001034034,0.1265123138877599,1.0
-2.029307582591658,0.7499477498470157,0.06216414790821499,0.6281082588172934,0.8717872408767381,0.1314264916408116,1.0
-1.9911995326174778,0.7750698849815683,0.060881186862386784,0.655744951395237,0.8943948185678995,0.13653155312878582,1.0
-1.9530914826432972,0.7990357874790308,0.059891430799290275,0.6816507401298489,0.9164208348282127,0.14183491293904368,1.0
-1.9149834326691169,0.8213641268311673,0.05919533174215508,0.7053434085636427,0.9373848450986919,0.14734427366727637,1.0
-1.8768753826949363,0.8415796113761407,0.05875539943702601,0.7264211445823048,0.9567380781699766,0.1530676371047492,1.0
-1.8387673327207559,0.8592888998205996,0.05851173904998519,0.7446079986098227,0.9739698010313765,0.15901331586009698,1.0
-1.8006592827465755,0.8741657606774447,0.05838865842163565,0.7597260930654275,0.9886054282894619,0.16518994543255056,1.0
-1.762551232772395,0.8858957469251227,0.05829483987491069,0.7716399602857684,1.000151533564477,0.1716064967541291,1.0
-1.7244431827982145,0.8942869762228889,0.058148294930777236,0.7803184123961525,1.0082555400496254,0.17827228921901472,1.0
-1.686335132824034,0.8992312213502878,0.05787997562375101,0.7857885537016795,1.012673888998896,0.18519700421903368,1.0
-1.6482270828498535,0.9006866376687452,0.05743744606451464,0.7881113120183347,1.0132619633191557,0.19239069920490212,1.0
-1.610119032875673,0.898753608689463,0.05680023713670837,0.78742718958818,1.0100800277907458,0.19986382229365993,1.0
-1.5720109829014925,0.8935856832880678,0.05596827432760505,0.7838898813291042,1.0032814852470313,0.20762722744350756,1.0
-1.5339029329273122,0.8854699817386109,0.05497498145225581,0.777720998041432,0.9932189654357898,0.21569219021808692,1.0
-1.4957948829531316,0.8747392557915443,0.05386992406430985,0.7691561447755895,0.9803223668074992,0.2240704241631011,1.0
-1.4576868329789512,0.8618195392350905,0.05272499785287693,0.7584804423585,0.965158636111681,0.23277409781905892,1.0
-1.4195787830047706,0.8471861599167876,0.051618593141662325,0.7460155764265032,0.948356743407072,0.24181585239485417,1.0
-1.3814707330305902,0.8313688464023254,0.050631363532454995,0.7321331973905589,0.930604495414092,0.25120882012784723,1.0
-1.3433626830564096,0.8149236311735706,0.04982967737813355,0.7172592581511785,0.9125880041959626,0.26096664335711683,1.0
-1.305254633082229,0.7984208005090783,0.0492566438210011,0.7018795526205988,0.8949620483975578,0.2711034943375825,1.0
-1.2671465831080488,0.7824168779312033,0.048920617154556506,0.6865342302068002,0.8782995256556064,0.28163409582377674,1.0
-1.2290385331338682,0.7674438577791451,0.04879313182912828,0.6718110767011387,0.8630766388571516,0.29257374245316253,1.0
