pctl,beta_1,se,B,half
97.02020202020202,0.6238671240857527,0.06019939691504893,1xBet,late
98.010101010101,0.6223662995531133,0.06113073965094553,1xBet,late
99.0,0.6208654739345675,0.062072099346873785,1xBet,late
1.0,1.1284489998715097,0.08616737181675774,GGBET,early
1.9898989898989898,1.127036628412995,0.08505309066243925,GGBET,early
2.9797979797979797,1.1256242560250738,0.08394415263554578,GGBET,early
3.9696969696969697,1.124211881629137,0.08284077437430959,GGBET,early
4.959595959595959,1.122799503773555,0.0817431821353414,GGBET,early
5.94949494949495,1.1213871206692714,0.08065161149416043,GGBET,early
6.939393939393939,1.1199747302238694,0.0795663072198234,GGBET,early
7.929292929292929,1.118562330073987,0.07848752333927782,GGBET,early
8.919191919191919,1.1171499176159523,0.07741552340117937,GGBET,early
9.909090909090908,1.115737490034491,0.07635058094136686,GGBET,early
10.898989898989898,1.1143250443293884,0.07529298014377758,GGBET,early
11.888888888888888,1.1129125773399655,0.07424301668207067,GGBET,early
12.878787878787879,1.1115000857672792,0.07320099871931181,GGBET,early
13.868686868686869,1.1100875661939495,0.07216724803636163,GGBET,early
14.85858585858586,1.1086750151015674,0.07114210125459201,GGBET,early
15.848484848484848,1.1072624288856479,0.07012591111556102,GGBET,early
16.838383838383837,1.1058498038681404,0.06911904777948713,GGBET,early
17.82828282828283,1.1044371363075398,0.06812190010577576,GGBET,early
18.818181818181817,1.1030244224066723,0.06713487688230342,GGBET,early
19.80808080808081,1.1016116583182836,0.06615840797533767,GGBET,early
20.7979797979798,1.100198840148575,0.06519294537841253,GGBET,early
21.787878787878785,1.0987859639588842,0.06423896414563882,GGBET,early
22.77777777777778,1.0973730257657315,0.0632969632021956,GGBET,early
23.767676767676768,1.0959600215394902,0.06236746603148848,GGBET,early
24.757575757575758,1.0945469472019556,0.06145102124407191,GGBET,early
25.747474747474747,1.0931337986231215,0.060548203037376194,GGBET,early
26.737373737373737,1.0917205716174843,0.059659611557133535,GGBET,early
27.727272727272727,1.0903072619401981,0.05878587317087617,GGBET,early
28.71717171717172,1.0888938652834317,0.05792764066087187,GGBET,early
29.707070707070706,1.08748037727325,0.057085593338436644,GGBET,early
30.696969696969695,1.086066793467358,0.05626043707397693,GGBET,early
31.686868686868685,1.084653109354019,0.0554529042277996,GGBET,early
32.676767676767675,1.0832393203524469,0.05466375345627857,GGBET,early
33.666666666666664,1.081825421814939,0.05389376935710106,GGBET,early
34.65656565656566,1.080411409030995,0.053143761906840704,GGBET,early
35.64646464646465,1.0789972772336214,0.05241456563486615,GGBET,early
36.63636363636363,1.0775830216079834,0.05170703847042852,GGBET,early
37.62626262626262,1.0761686373025323,0.05102206019545545,GGBET,early
38.61616161616161,1.0747541194426649,0.05036053043477489,GGBET,early
39.60606060606061,1.0733394631469482,0.049723366118703545,GGBET,early
40.5959595959596,1.071924663545873,0.049111498360467555,GGBET,early
41.58585858585859,1.0705097158030543,0.04852586870285411,GGBET,early
42.57575757575757,1.069094615138749,0.04796742470465,GGBET,early
43.56565656565656,1.0676793568555027,0.047437114857376984,GGBET,early
44.55555555555556,1.0662639363656987,0.04693588284590512,GGBET,early
45.54545454545455,1.0648483492207286,0.04646466119180183,GGBET,early
46.535353535353536,1.0634325911414764,0.0460243643446473,GGBET,early
47.525252525252526,1.0620166580497572,0.045615881312760294,GGBET,early
48.51515151515151,1.060600546100332,0.04524006794949116,GGBET,early
49.505050505050505,1.0591842517130952,0.04489773903309941,GGBET,early
50.494949494949495,1.0577677716050058,0.04458966029596487,GGBET,early
51.48484848484849,1.0563511028213373,0.04431654057136799,GGBET,early
52.474747474747474,1.0549342427658,0.0440790242324476,GGBET,early
53.46464646464646,1.0535171892291118,0.04387768409765282,GGBET,early
54.45454545454545,1.052099940415587,0.043713014969879824,GGBET,early
55.44444444444444,1.0506824949673508,0.043585427962753456,GGBET,early
56.43434343434344,1.0492648519857888,0.04349524574781569,GGBET,early
57.42424242424242,1.0478470110498985,0.04344269883171109,GGBET,early
58.414141414141405,1.046428972231225,0.04342792294410082,GGBET,early
59.4040404040404,1.0450107361051202,0.04345095758646124,GGBET,early
60.39393939393939,1.0435923037581087,0.04351174576066899,GGBET,early
61.38383838383839,1.0421736767911929,0.04361013486581997,GGBET,early
62.37373737373737,1.0407548573189846,0.043745878723381725,GGBET,early
63.36363636363637,1.0393358479646133,0.04391864066557791,GGBET,early
64.35353535353535,1.0379166518504046,0.04412799760057156,GGBET,early
65.34343434343434,1.0364972725844006,0.04437344495092967,GGBET,early
66.33333333333333,1.0350777142428236,0.04465440234907731,GGBET,early
67.32323232323232,1.0336579813486655,0.04497021996478055,GGBET,early
68.31313131313131,1.032238078846615,0.04532018533473753,GGBET,early
69.3030303030303,1.0308180120745984,0.045703530562606204,GGBET,early
70.2929292929293,1.0293977867322368,0.04611943975873196,GGBET,early
71.28282828282828,1.0279774088465754,0.04656705659198275,GGBET,early
72.27272727272727,1.0265568847354571,0.04704549183107021,GGBET,early
73.26262626262626,1.025136220968948,0.04755383075927023,GGBET,early
74.25252525252525,1.0237154243292337,0.04809114035440537,GGBET,early
75.24242424242425,1.0222945017694112,0.048656476135262,GGBET,early
76.23232323232322,1.0208734603716176,0.04924888858628804,GGBET,early
77.22222222222221,1.0194523073049098,0.04986742908447073,GGBET,early
78.2121212121212,1.0180310497833205,0.05051115526570773,GGBET,early
79.2020202020202,1.016609695024472,0.05117913578267272,GGBET,early
80.1919191919192,1.0151882502091225,0.05187045442194806,GGBET,early
81.18181818181817,1.0137667224419702,0.052584213564747885,GGBET,early
82.17171717171718,1.0123451187140142,0.05331953699246777,GGBET,early
83.16161616161615,1.01092344586672,0.05407557205505175,GGBET,early
84.15151515151514,1.009501710558189,0.05485149123617449,GGBET,early
85.14141414141415,1.0080799192314887,0.055646493163867876,GGBET,early
86.13131313131312,1.006658078085236,0.05645980312786046,GGBET,early
87.12121212121212,1.0052361930464844,0.057290673174981405,GGBET,early
88.1111111111111,1.003814269745901,0.05813838186104071,GGBET,early
89.1010101010101,1.0023923134951784,0.05900223374131049,GGBET,early
90.0909090909091,1.0009703292665675,0.05988155868193623,GGBET,early
91.08080808080807,0.9995483216743755,0.06077571107133717,GGBET,early
92.07070707070707,0.9981262949582388,0.06168406900413937,GGBET,early
93.06060606060605,0.9967042529679293,0.0626060335008511,GGBET,early
94.05050505050505,0.995282199149445,0.06354102781494206,GGBET,early
95.04040404040404,0.9938601365320981,0.06448849686598562,GGBET,early
96.03030303030302,0.9924380677163149,0.0654479068239468,GGBET,early
97.02020202020202,0.991015994861852,0.06641874485650615,GGBET,early
98.010101010101,0.9895939196761497,0.06740051903950371,GGBET,early
99.0,0.9881718434025552,0.06839275842116664,GGBET,early
1.0,0.6215161378068188,0.29992602703026067,GGBET,late
1.9898989898989898,0.6300920125769545,0.28755228476938266,GGBET,late
2.9797979797979797,0.6386679282050935,0.2753783715252464,GGBET,late
3.9696969696969697,0.6472440786733127,0.26343627516294477,GGBET,late
4.959595959595959,0.6558208479726202,0.2517661866213478,GGBET,late
5.94949494949495,0.6643987212250424,0.24041466969018827,GGBET,late
6.939393939393939,0.6729781459777258,0.22943231713215465,GGBET,late
7.929292929292929,0.6815593644892647,0.21887130127020332,GGBET,late
8.919191919191919,0.6901422244697535,0.20878285598861324,GGBET,late
9.909090909090908,0.6987259764720001,0.19921475277779924,GGBET,late
10.898989898989898,0.7073090666201565,0.19020886491704309,GGBET,late
11.888888888888888,0.7158889335401322,0.1817989463636918,GGBET,late
12.878787878787879,0.7244618182403987,0.1740087793304873,GGBET,late
13.868686868686869,0.7330225953042017,0.166850857639203,GGBET,late
14.85858585858586,0.7415646331179907,0.16032576118065386,GGBET,late
15.848484848484848,0.7500796900041139,0.15442233206339417,GGBET,late
16.838383838383837,0.7585578520774372,0.14911868431188285,GGBET,late
17.82828282828283,0.766987517438459,0.14438397590812463,GGBET,late
18.818181818181817,0.7753554299832629,0.14018076447770159,GGBET,late
19.80808080808081,0.7836467646889657,0.13646768097288856,GGBET,late
20.7979797979798,0.7918452647584311,0.13320211086829153,GGBET,late
21.787878787878785,0.7999334295164123,0.1303425801538637,GGBET,late
