Delta,AvgChange,AvgNumChanges,NumMatches,Proportions,Z-statistic,p-value,Bookies
"[-1, -0.15]",-0.18029249024385163,13.421052631578947,57,0.3333333333333333,-2.6457513110645907,0.008150971593502643,Curebet
"[-0.15, -0.12]",-0.13155005074082357,11.987654320987655,81,0.38271604938271603,-2.1582549701388465,0.030908013652429567,Curebet
"[-0.12, -0.09]",-0.10212566604880119,10.882352941176471,187,0.46524064171123,-0.9504082607327045,0.341904848172905,Curebet
"[-0.09, -0.06]",-0.0732453216070695,9.365217391304348,460,0.4652173913043478,-1.4940044298395558,0.1351744614429926,Curebet
"[-0.06, -0.03]",-0.043371781638737,8.4241452991453,936,0.46153846153846156,-2.3591261497588856,0.01831802755617251,Curebet
"[-0.03, 0]",-0.01437725265033484,7.017914267434421,1563,0.4708893154190659,-2.3049433157493513,0.021169748256965937,Curebet
"[0, 0.03]",0.014208682013467437,6.768208092485549,1730,0.5242774566473989,2.021357945352956,0.0432427247833187,Curebet
"[0.03, 0.06]",0.04370131754597889,8.32776617954071,958,0.569937369519833,4.37004432715694,1.2422131748790477e-05,Curebet
"[0.06, 0.09]",0.0723777685781823,9.672566371681416,452,0.5553097345132744,2.3637056329082617,0.018093182491954796,Curebet
"[0.09, 0.12]",0.10172578856045227,10.84375,192,0.6197916666666666,3.4104336824827852,0.0006485965540736771,Curebet
"[0.12, 0.15]",0.1323089101450775,11.184782608695652,92,0.6086956521739131,2.1245914639969943,0.033620716746364465,Curebet
"[0.15, 1]",0.1887998637224553,13.656716417910447,67,0.6417910447761194,2.402457559579647,0.01628532414689121,Curebet
"[-1, -0.15]",-0.2721535623132563,12.4,10,0.3,-1.3093073414159544,0.19043026382552397,Dafabet
"[-0.15, -0.12]",-0.13187180621632894,11.0,24,0.4583333333333333,-0.4010475792710398,0.688385094226756,Dafabet
"[-0.12, -0.09]",-0.1029430870725026,11.361702127659575,47,0.40425531914893614,-1.3232308376183128,0.18575862379648922,Dafabet
"[-0.09, -0.06]",-0.07155499952282951,9.045454545454545,132,0.42424242424242425,-1.754425124876235,0.0793576893221255,Dafabet
"[-0.06, -0.03]",-0.04198989094172091,7.679156908665106,427,0.4894613583138173,-0.43512689078955796,0.6634703255596799,Dafabet
"[-0.03, 0]",-0.014123871471077928,5.868274582560296,1078,0.474025974025974,-1.7071194224411783,0.08779985778806054,Dafabet
"[0, 0.03]",0.014135175826407768,5.729308666017527,1027,0.5520934761441091,3.3554982536161035,0.0007922215670093102,Dafabet
"[0.03, 0.06]",0.04222672388219009,7.461883408071749,446,0.5560538116591929,2.379915725306967,0.017316597839290182,Dafabet
"[0.06, 0.09]",0.0703175659158088,9.464,125,0.576,1.712498756675243,0.08680479354367043,Dafabet
"[0.09, 0.12]",0.10132092408372896,9.774193548387096,31,0.5161290322580645,0.1767766952966367,0.8596837951986664,Dafabet
"[0.12, 0.15]",0.13407636571017584,13.375,16,0.625,1.0,0.31731050786291415,Dafabet
"[0.15, 1]",0.17949927461973914,9.0,9,0.6666666666666666,0.9999999999999998,0.31731050786291415,Dafabet
"[-1, -0.15]",-0.1926476809199168,13.91891891891892,111,0.34234234234234234,-3.4848265181457365,0.0004924562124235532,GGBET
"[-0.15, -0.12]",-0.13162122221768308,13.2578125,128,0.359375,-3.3028475133909256,0.0009570841692911891,GGBET
"[-0.12, -0.09]",-0.10302380033718453,12.451612903225806,279,0.45161290322580644,-1.6211573830150494,0.10498388996050778,GGBET
"[-0.09, -0.06]",-0.07298152513648265,10.491446345256609,643,0.41835147744945567,-4.193869151148005,2.742362102625684e-05,GGBET
"[-0.06, -0.03]",-0.043787589013945624,9.377859778597786,1355,0.46789667896678966,-2.3674800489048455,0.017909685627874206,GGBET
"[-0.03, 0]",-0.013546085827849502,6.772443275238408,3041,0.4616902334758303,-4.236964483848116,2.2656195687087433e-05,GGBET
"[0, 0.03]",0.01363044770054157,6.742387957577831,2923,0.539172083475881,4.247991978916494,2.1569511544639042e-05,GGBET
"[0.03, 0.06]",0.043519060045939195,9.188790560471977,1356,0.5508849557522124,3.765735314477348,0.00016605964035942833,GGBET
"[0.06, 0.09]",0.07241171428035298,11.146341463414634,615,0.5756097560975609,3.7906636770372915,0.00015024528475682253,GGBET
"[0.09, 0.12]",0.10220097308269585,11.655038759689923,258,0.5930232558139535,3.035550333354817,0.0024009714497355006,GGBET
"[0.12, 0.15]",0.13304326193294144,13.576923076923077,130,0.5153846153846153,0.34963683056950473,0.7266112666116058,GGBET
"[0.15, 1]",0.1953001787372265,13.435643564356436,101,0.6138613861386139,2.3386740249984914,0.019352310462777522,GGBET
"[-1, -0.15]",-0.1916689377566203,9.222222222222221,81,0.2962962962962963,-3.990119375605065,6.604004872068359e-05,Interwetten
"[-0.15, -0.12]",-0.13114802943267717,8.868686868686869,99,0.46464646464646464,-0.7017206089046011,0.4828534180179944,Interwetten
"[-0.12, -0.09]",-0.104231974417013,7.630434782608695,184,0.3804347826086957,-3.3315534094924466,0.0008636272611788343,Interwetten
"[-0.09, -0.06]",-0.07378144725657212,7.702439024390244,410,0.4658536585365854,-1.3843660769756394,0.16624639064912183,Interwetten
"[-0.06, -0.03]",-0.04410226260049678,6.29228855721393,804,0.47761194029850745,-1.2701061541686758,0.20404681976853545,Interwetten
"[-0.03, 0]",-0.018317512510069,5.635193133047211,932,0.43991416309012876,-3.6934794553199266,0.00022120638931388825,Interwetten
"[0, 0.03]",0.018404339005980062,5.9243986254295535,873,0.5315005727376861,1.8641046595091102,0.062307008336417,Interwetten
"[0.03, 0.06]",0.04343036052912549,6.368351063829787,752,0.5345744680851063,1.8995304847631191,0.05749476237038009,Interwetten
"[0.06, 0.09]",0.07373472198515373,7.212471131639723,433,0.5704387990762124,2.95758179284728,0.003100624759002635,Interwetten
