bookie,start_idx,start_value,gamma,std_gamma,J_stat,p_value
Marathonbet,8,0.6011150117432088,0.042415407544008535,0.011988673819704488,13.602339138959588,0.40243283164270033
Marathonbet,9,0.7080725777960455,0.04241088522304674,0.011988667022391462,13.602336363498235,0.40243303515243634
NordicBet,0,0.01,0.04267851562500009,0.01771550481768714,11.84437274255615,0.5404448155915828
NordicBet,1,0.9507143064099162,0.04266696020090758,0.01771549483183392,11.844369557492605,0.5404450783442906
NordicBet,2,0.7319939418114051,0.04264454452264306,0.017715475443925835,11.838138149402727,0.5409591970903425
NordicBet,3,0.5986584841970366,0.04270100449704614,0.017715524234933815,11.844386929725776,0.5404436452174196
NordicBet,4,0.15601864044243652,0.04267010780830789,0.017715497552466104,11.844370148454265,0.5404450295927408
NordicBet,5,0.15599452033620265,0.04266351111235919,0.01771549185005612,11.844369147959567,0.5404451121288355
NordicBet,6,0.05808361216819946,0.042660824913772225,0.017715489527648343,11.850711574943793,0.5399219510795323
NordicBet,7,0.8661761457749352,0.04265061069360087,0.017715480693059133,11.844369825243358,0.5404450562561163
NordicBet,8,0.6011150117432088,0.042614446175521514,0.017715449375332447,11.83812042206705,0.5409606598361453
NordicBet,9,0.7080725777960455,0.04264253006050983,0.01771547370044028,11.838136375433075,0.5409593434668751
Pinnacle,0,0.01,0.013389453125000002,0.011222679834076812,10.04273679124173,0.6904359483116571
Pinnacle,1,0.9507143064099162,0.01331719563727228,0.011222671374418671,10.043156650048392,0.6904015428776596
Pinnacle,2,0.7319939418114051,0.01335763847184889,0.011222676059284752,10.042724956180693,0.6904369181286927
Pinnacle,3,0.5986584841970366,0.013318543547962636,0.01122267152853268,10.043156030667067,0.6904015936335228
Pinnacle,4,0.15601864044243652,0.013312625692048436,0.011222670852969272,10.043158970513193,0.6904013527246838
Pinnacle,5,0.15599452033620265,0.013310567592163588,0.011222670618772496,10.043160126773893,0.6904012579736536
Pinnacle,6,0.05808361216819946,0.013361499689786133,0.011222676513258653,10.042725513118253,0.690436872490788
Pinnacle,7,0.8661761457749352,0.013322533492144902,0.011222671985459938,10.043154370904258,0.6904017296445486
Pinnacle,8,0.6011150117432088,0.013318160965746447,0.011222671484776915,10.043156203457006,0.6904015794740674
Pinnacle,9,0.7080725777960455,0.013377921536669276,0.011222678456653035,10.0427305956357,0.6904364560069753
Suprabets,0,0.01,0.035527734375000036,0.00991731555601649,13.223303657616436,0.4307148630378135
Suprabets,1,0.9507143064099162,0.035555751811592685,0.0099173610089814,13.22329408379495,0.430715589372873
Suprabets,2,0.7319939418114051,0.03557904269599725,0.009917398682356464,13.22331313028087,0.4307141443777896
Suprabets,3,0.5986584841970366,0.03557311730193282,0.009917389107550337,13.223305962225504,0.43071468819461906
Suprabets,4,0.15601864044243652,0.03553823521474354,0.009917332608836642,13.223295908160198,0.43071545096410163
Suprabets,5,0.15599452033620265,0.03553274108912949,0.009917323689124078,13.223299340059615,0.43071519059689795
Suprabets,6,0.05808361216819946,0.03552062462106428,0.009917303998274079,13.210579171233498,0.43168074422455704
