pctl,beta_1_mixedlm,beta_1_ols,gate_diff,se_model,se_iid,se_cluster,factor_vs_model,factor_vs_iid,t_model,t_cluster,sig_model,sig_cluster
76,1.079698956496032,1.0867527219755555,0.007053765479523522,0.0229970844978931,0.017943172436315463,0.04741064645912625,2.0615937843542658,2.6422666686951697,3.4656113257893053,1.8298152093400986,True,False
78,1.0815144284607388,1.0884304777851341,0.006916049324395379,0.0224551780599037,0.01783638832050813,0.04709109231921944,2.0971150704570003,2.6401697178275993,3.630094949293327,1.8778599822166946,True,False
80,1.0847665254284176,1.0911002738192401,0.006333748390822569,0.0225417437564283,0.017739219407792026,0.04682845369302619,2.077410434570838,2.639826060917686,3.7604244970730987,1.945404271010704,True,False
82,1.0877974502417556,1.0939607772052544,0.006163326963498861,0.0228039092180872,0.017665257847166237,0.04674047846964909,2.0496695554539532,2.6458984563956953,3.8501052342428177,2.010265625891438,True,True
84,1.076804608550565,1.0836770061184828,0.0068723975679179095,0.0213765514533629,0.017578429757352014,0.04666352930134795,2.182930647310138,2.6545903101402653,3.5929372760676155,1.7931992579923801,True,False
86,1.0759493019283943,1.0828848341697368,0.006935532241342468,0.0219032271344242,0.01746700509136201,0.04644430333693843,2.1204319825522084,2.658973481372981,3.46749369224358,1.7846071146429754,True,False
88,1.0796671059283058,1.0863320979565498,0.006664992028243999,0.0216727385531563,0.01737126103175854,0.04631106297930717,2.1368348474153804,2.6659586137494693,3.675913209256315,1.8641787167598587,True,False
90,1.0805151875166668,1.0873049754056747,0.00678978788900797,0.0217336806583446,0.017271477543551832,0.046284291495443726,2.129611280437811,2.6798107677083824,3.704627337742405,1.8862765872578846,True,False
92,1.079225053664955,1.0803613133340586,0.0011362596691035787,0.0198233714388532,0.01715928615716407,0.04619664184195837,2.3304129665559494,2.692223989904795,3.996547908580089,1.7395488098243101,True,False
94,1.0606048353252693,1.068249888777605,0.007645053452335793,0.0148875156971374,0.017041182540070393,0.04616245977325487,3.100749696077975,2.7088765503631644,4.070849465967146,1.478471665349752,True,False
96,1.0568321052794265,1.058216704524678,0.0013845992452514722,0.0194832334709363,0.01689715639333516,0.045978416809220116,2.359896619717022,2.7210742292327743,2.916975016708833,1.2661746220240384,True,False
98,1.0511233073373465,1.052443737651985,0.0013204303146385765,0.018668065158762,0.01671143990415793,0.045809977852481115,2.453922110453951,2.741234634191112,2.7385434378212126,1.1448103690612166,True,False
100,1.03132201138754,1.0326672141183015,0.0013452027307614411,0.0181498383451866,0.0164177687409842,0.045232026151140914,2.492144849495952,2.755065372447765,1.7257460254926624,0.7222142560924734,False,False
